Tweeted at,Text,Retweets,Replies,Coordinates
2021-08-03T17:24:55.000Z,if you see a Fleet no you didn't https://t.co/4rKI7f45PL,13406,4067,
2021-07-16T15:46:33.000Z,https://t.co/VpfGjBO7LF,2451,2275,
2021-07-14T17:28:53.000Z,we're removing Fleets on August 3 working on some new stuff  we're sorry or you're welcome,80655,29339,
2021-07-09T16:05:33.000Z,are we tired? yes!  are we tired of talking about it? no!,8229,2889,
2021-06-30T13:25:01.000Z,First Born  Check in on your Tweets. https://t.co/qrKHOeVxtU,2626,5909,
